,year,female,wbhao,igen,% less than High School diploma,scol,% with College Degree,% with Health Insurance,% Employed,% Married,% with Children,Median Individual Real Income,wbhao_igen
250,2009,0,Hispanic,2nd Generation,0.17957824,0.48134959,0.18827689,0.72622615,0.77866018,0.55878323,0.54724711,44034.145,Hispanic 2nd Generation
251,2009,1,Hispanic,2nd Generation,0.13150923,0.55545312,0.21176448,0.77366495,0.68840432,0.53556132,0.68361276,33025.609,Hispanic 2nd Generation
254,2009,0,Hispanic,3rd Generation,0.13168129,0.44553009,0.16168141,0.73583698,0.77998203,0.56198883,0.5272041000000001,44034.145,Hispanic 3rd Generation
255,2009,1,Hispanic,3rd Generation,0.14394304,0.45768809,0.14247811,0.76389462,0.68535674,0.53067023,0.61649233,32391.517999999996,Hispanic 3rd Generation
258,2009,0,Hispanic,All,0.34143719,0.31004241,0.12682793,0.57646853,0.80208826,0.63850361,0.60901541,33025.609,Hispanic All
259,2009,1,Hispanic,All,0.30743358,0.35979074,0.13674808,0.63059354,0.61320692,0.62251264,0.70369929,25319.632999999998,Hispanic All
256,2009,0,White,All,0.05673774,0.61335909,0.33967444,0.84861684,0.82880205,0.63713157,0.4581807,55152.765999999996,White All
257,2009,1,White,All,0.043645773,0.68174475,0.37279373,0.87247896,0.73201531,0.66817498,0.5124346,36922.629,White All
262,2010,0,Hispanic,1st Generation,0.45422122,0.21801431,0.10482377,0.42992553,0.81826788,0.6599732,0.6705609,27617.387000000002,Hispanic 1st Generation
263,2010,1,Hispanic,1st Generation,0.42700246,0.26381168,0.11867111,0.50315827,0.53830695,0.67434531,0.75671881,20679.898,Hispanic 1st Generation
266,2010,0,Hispanic,2nd Generation,0.15434456,0.48356009,0.20204479,0.66024125,0.77700031,0.53025723,0.56674534,43088.645,Hispanic 2nd Generation
267,2010,1,Hispanic,2nd Generation,0.12709068,0.56828427,0.23784074,0.76228172,0.69589579,0.50118726,0.68565232,32058.262000000002,Hispanic 2nd Generation
270,2010,0,Hispanic,3rd Generation,0.12145608,0.44500229,0.16803956,0.70381713,0.75578398,0.51527131,0.50924289,44187.816,Hispanic 3rd Generation
271,2010,1,Hispanic,3rd Generation,0.12208864,0.49660623,0.17910691,0.72747105,0.66283929,0.50211394,0.62505788,32036.167999999998,Hispanic 3rd Generation
274,2010,0,Hispanic,All,0.3226867,0.32085839,0.13847096,0.53463781,0.79680508,0.60292304,0.61573589,33140.863,Hispanic All
275,2010,1,Hispanic,All,0.29211718,0.38340116,0.1585445,0.61085504,0.60111767,0.59732962,0.71133006,26512.689,Hispanic All
272,2010,0,White,All,0.057444826,0.60965461,0.34018594,0.81657547,0.81722534,0.62047905,0.45265588,55234.773,White All
273,2010,1,White,All,0.044571389,0.68236572,0.37225676,0.8523130999999999,0.72825134,0.65883332,0.51823223,38114.203,White All
278,2011,0,Hispanic,1st Generation,0.45307928,0.22390965,0.086493902,0.44812381,0.83766264,0.65737414,0.65001643,27177.646,Hispanic 1st Generation
279,2011,1,Hispanic,1st Generation,0.42844337,0.2573193,0.11072344,0.51611924,0.52752393,0.65988499,0.75187767,20696.32,Hispanic 1st Generation
282,2011,0,Hispanic,2nd Generation,0.15411806,0.46254745,0.18999562,0.71920395,0.80083859,0.52377385,0.55498832,41773.129,Hispanic 2nd Generation
283,2011,1,Hispanic,2nd Generation,0.12575404,0.57401371,0.24018125,0.7814066999999999,0.6818651,0.48552379,0.64472276,32613.176,Hispanic 2nd Generation
286,2011,0,Hispanic,3rd Generation,0.12267648,0.44456312,0.15754725,0.70691586,0.74829668,0.51012647,0.50047582,43484.234000000004,Hispanic 3rd Generation
287,2011,1,Hispanic,3rd Generation,0.12759972,0.52641523,0.19275416,0.76992679,0.64294279,0.50996888,0.66180086,32613.176,Hispanic 3rd Generation
290,2011,0,Hispanic,All,0.31940409999999997,0.32166767,0.12377593,0.56086212,0.81109273,0.59772086,0.59828341,32612.088,Hispanic All
291,2011,1,Hispanic,All,0.28999111,0.39184397,0.15938519,0.63523197,0.5895263000000001,0.5854218000000001,0.70658082,26090.541,Hispanic All
288,2011,0,White,All,0.056003019,0.62701529,0.35428905,0.81840104,0.82600188,0.61142296,0.44227058,54355.293,White All
289,2011,1,White,All,0.042964783,0.69450098,0.38662913,0.85396093,0.7277596,0.65131921,0.5117596999999999,38048.703,White All
