year,female,wbhao,igen,lths,college,hinsured,employed,married2,children,gen1,gen2,gen3,rincp_all
2007,0,White,3rd Generation,.062043764,.32973236,.85209256,.88316846,.65231156,.4749594,,,,52900.066
2007,1,White,3rd Generation,.045352697,.35736707,.87888354,.75635093,.67558855,.52791309,,,,29394.805
2007,0,Hispanic,3rd Generation,.12860648,.17113362,.72899842,.84292716,.56950289,.53677654,,,,38793.383
2007,1,Hispanic,3rd Generation,.13771324,.16322254,.76612097,.75598913,.52642983,.63290542,,,,23511.141
2007,0,White,All,.061765801,.34100115,.84964073,.88351512,.65645337,.47808006,.04871121,.047596559,.90369225,52900.066
2007,1,White,All,.04720562,.36658499,.87627238,.75246888,.67942214,.52880847,.048953708,.046034425,.90501189,29388.926
2007,0,Hispanic,All,.3514238,.12231132,.56685579,.87609416,.66732472,.61024314,.61874163,.18967445,.19158392,31740.041
2007,1,Hispanic,All,.31030646,.14497496,.6296553,.63129604,.63210779,.71501005,.56330115,.20742634,.22927251,15282.242
2008,0,White,1st Generation,.060231563,.46918371,.78385693,.8668201,.68866432,.49692708,,,,45839.855
2008,1,White,1st Generation,.057151385,.47748363,.82805943,.69307911,.73116034,.51608527,,,,27435.324
2008,0,Hispanic,1st Generation,.47205612,.090517096,.47102225,.87505245,.70975393,.63430434,,,,28578.463
2008,1,Hispanic,1st Generation,.43887651,.10869925,.5224756,.54519463,.70870298,.75077307,,,,10288.247
2008,0,White,2nd Generation,.034726236,.45481014,.89641899,.88670015,.61032361,.42337421,,,,60207.965
2008,1,White,2nd Generation,.030008439,.45612919,.90919632,.75066698,.60556197,.47976673,,,,35380.137
2008,0,Hispanic,2nd Generation,.14997424,.19724327,.72309262,.85443169,.56803602,.55942476,,,,40009.848
2008,1,Hispanic,2nd Generation,.1151698,.23063278,.79346585,.74747127,.52997947,.66154605,,,,25720.617
2008,0,White,3rd Generation,.058059841,.33604005,.85685849,.87467319,.64185911,.45816043,,,,51552.117
2008,1,White,3rd Generation,.040701374,.3688398,.88172293,.75484419,.66560704,.51321077,,,,29767.328
2008,0,Hispanic,3rd Generation,.1493195,.1586895,.72464913,.82292521,.54652756,.51758462,,,,35667.066
2008,1,Hispanic,3rd Generation,.14536442,.16500533,.77739584,.70632672,.5467872,.60971725,,,,23121.121
2008,0,White,All,.057112515,.34779599,.85513127,.87483764,.64268833,.45845661,.048086625,.045074727,.90683866,51669.863
2008,1,White,All,.040976588,.37816262,.88047296,.75170416,.66587514,.51175815,.0476248,.047528002,.9048472,29835.916
2008,0,Hispanic,All,.34439042,.12505841,.57114607,.86057925,.64933169,.5962773,.60403049,.19575565,.20021386,30864.74
2008,1,Hispanic,All,.3002007,.14847891,.64068174,.62673515,.63216931,.69873744,.55018395,.22021708,.22959897,16644.098
2009,0,White,1st Generation,.056979373,.50437665,.81158036,.84779406,.72341037,.4955667,,,,49648.5
